title,url,image,property_type,price,location,rooms,bathrooms,square_meters,floor
Piso en calle de Maqueda,https://www.pisos.com/comprar/piso-latina_aluche28024-63375110020_518874/,https://fotos.imghs.net/mm-wp/518874/63375110020.518874/518874_63375110020_38621538-eb70-4dd5-a6ce-8601c0882d83.jpg,unknown,260.000 €,Aluche (Distrito Latina. Madrid Capital),2 habs.,1 baño,85 m²,bajo
Piso en calle de Camarena,https://www.pisos.com/comprar/piso-latina_aluche28047-62523325093_518874/,https://fotos.imghs.net/mm-wp/518874/62523325093.518874/518874_62523325093_e2cefce1-4d1a-4c6c-9a0c-4702a1a024d9.jpg,unknown,349.000 €,Aluche (Distrito Latina. Madrid Capital),3 habs.,1 baño,80 m²,8ª planta
Piso en calle Orense,https://www.pisos.com/comprar/piso-castillejos-61680246526_101000/,https://fotos.imghs.net/mm-wp/1010/289/1010_62242289_4_202602242030356756660.jpg,unknown,895.000 €,Castillejos (Distrito Tetuán. Madrid Capital),4 habs.,2 baños,129 m²,4ª planta
Ático en Avenida de la Reina Victoria,https://www.pisos.com/comprar/atico-chamberi_vallehermoso28003-60922835048_100500/,https://fotos.imghs.net/mm-wp/1005/999/1005_110412999_1_202604232234460799175.jpg,unknown,625.000 €,Vallehermoso (Distrito Chamberí. Madrid Capital),3 habs.,1 baño,85 m²,ático
"Piso en calle Magín Calvo, 2",https://www.pisos.com/comprar/piso-puerta_del_angel-64240811877_100500/,https://fotos.imghs.net/mm-wp/1005/101/1005_2884531614101_1_202605051329515052904.jpg,unknown,534.000 €,Puerta del Ángel (Distrito Latina. Madrid Capital),2 habs.,2 baños,97 m²,1ª planta
"Piso en calle del Maravedí, 12",https://www.pisos.com/comprar/piso-pau_de_carabanchel-62543972739_516742/,https://fotos.imghs.net/mm-wp/516742/62543972739.516742/516742_62543972739_4a2fcdfd-e5ce-4341-b9b7-e0a195a76740.jpg,unknown,485.000 €,Pau de Carabanchel (Distrito Carabanchel. Madrid Capital),3 habs.,2 baños,139 m²,2ª planta
Ático en calle de María de Molina,https://www.pisos.com/comprar/atico-salamanca_castellana28006-56750591761_524671/,https://fotos.imghs.net/mm-wp/524671/56750591761.524671/524671_56750591761_ca6c90a6-f912-476f-98db-45d72db892dc.jpg,unknown,2.600.000 €,Castellana (Distrito Barrio de Salamanca. Madrid Capital),2 habs.,3 baños,120 m²,ático
"Piso en Avenida de América, 37",https://www.pisos.com/comprar/piso-chamartin_prosperidad-50096067053_100500/,https://fotos.imghs.net/mm-wp/1005/756/1005_2216359511756_1_2025102911105195599.jpg,unknown,1.395.000 €,Prosperidad (Distrito Chamartín. Madrid Capital),4 habs.,2 baños,236 m²,1ª planta
"Dúplex en calle de Nieremberg, 12",https://www.pisos.com/comprar/duplex-chamartin_ciudad_jardin28002-54179036033_520200/,https://fotos.imghs.net/mm-wp/520200/54179036033.520200/520200_54179036033_d7192880-7a6a-4c0b-a6ab-3bad8f93e2e3.jpg,unknown,2.500.000 €,Ciudad Jardín (Distrito Chamartín. Madrid Capital),3 habs.,3 baños,207 m²,5ª planta
Piso en Ronda de Toledo,https://www.pisos.com/comprar/piso-acacias28005-63383701032_524671/,https://fotos.imghs.net/mm-wp/524671/63383701032.524671/524671_63383701032_702b3af2-4505-46c7-b9ab-d388f64d6960.jpg,unknown,625.000 €,Acacias (Distrito Arganzuela. Madrid Capital),3 habs.,2 baños,105 m²,1ª planta
"Piso en calle de Evaristo San Miguel, 17",https://www.pisos.com/comprar/piso-moncloa_aravaca_arguelles28008-64203991795_992099/,https://fotos.imghs.net/mm-wp/992099/64203991795.992099/992099_64203991795_c4553672-4405-4a2f-a865-3a7a48392d4d.jpg,unknown,1.200.000 €,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),4 habs.,2 baños,140 m²,2ª planta
Piso en calle de Martínez Izquierdo,https://www.pisos.com/comprar/piso-guindalera-62542226790_100500/,https://fotos.imghs.net/mm-wp/1005/383/1005_269506718383_1_202604222003510527037.jpg,unknown,425.000 €,Guindalera (Distrito Barrio de Salamanca. Madrid Capital),1 hab.,1 baño,53 m²,4ª planta
Piso en calle de Valle Inclán,https://www.pisos.com/comprar/piso-las_aguilas28044-48425754970_518874/,https://fotos.imghs.net/mm-wp/518874/48425754970.518874/518874_48425754970_6c4a067a-7014-4289-ae3e-cc4e0b080bb6.jpg,unknown,285.000 €,Las Águilas (Distrito Latina. Madrid Capital),3 habs.,2 baños,80 m²,8ª planta
Piso en Avenida de Hellín,https://www.pisos.com/comprar/piso-san_blas_hellin28037-62522190046_528352/,https://fotos.imghs.net/mm-wp/528352/62522190046.528352/528352_62522190046_219834ea-43b9-40ee-8c98-67c860a02095.jpg,unknown,167.000 €,Hellín (Distrito San Blas. Madrid Capital),2 habs.,1 baño,45 m²,1ª planta
"Apartamento en calle de Porfirio, 8",https://www.pisos.com/comprar/apartamento-berruguete-63357470727_101000/,https://fotos.imghs.net/mm-wp/1010/774/1010_1524774_4_202604091630488130215.jpg,unknown,310.000 €,Berruguete (Distrito Tetuán. Madrid Capital),1 hab.,1 baño,55 m²,entreplanta
Ático en calle de Daoiz,https://www.pisos.com/comprar/atico-universidad_malasana28004-63365985385_528305/,https://fotos.imghs.net/mm-wp/528305/63365985385.528305/528305_63365985385_7c314696-1991-4996-9372-650f7712ab4f.jpg,unknown,975.000 €,Universidad-Malasaña (Distrito Centro. Madrid Capital),2 habs.,2 baños,114 m²,ático
Apartamento en Paseo de la Dirección,https://www.pisos.com/comprar/apartamento-berruguete-63383439551_100500/,https://fotos.imghs.net/mm-wp/1005/401/1005_4249401_1_202604281650046019916.jpg,unknown,330.000 €,Berruguete (Distrito Tetuán. Madrid Capital),1 hab.,1 baño,64 m²,bajo
Piso en calle del Arte Conceptual,https://www.pisos.com/comprar/piso-ensanche_de_vallecas_valdecarros28051-61718867724_100500/,https://fotos.imghs.net/mm-wp/1005/515/1005_4227515_1_2026020311020390388.jpg,unknown,394.000 €,Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital),2 habs.,2 baños,93 m²,3ª planta
Piso en calle de la Batalla de Torrijos,https://www.pisos.com/comprar/piso-carabanchel_vista_alegre28025-60929036096_104700/,https://fotos.imghs.net/mm-wp/520821/60929036096.104700/520821_60929036096_296b22b4-b464-4589-97d7-a39c3bcd0d1d.jpg,unknown,259.000 €,Vista Alegre (Distrito Carabanchel. Madrid Capital),3 habs.,1 baño,80 m²,2ª planta
Piso en calle del Puerto de las Pilas,https://www.pisos.com/comprar/piso-casco_historico_de_vallecas28031-63415304679_381300/,https://fotos.imghs.net/mm-wp/3813/63415304679.381300/3813_63415304679_0283eed8-9f48-485e-9531-27b04f98ed3d.jpg,unknown,199.500 €,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),1 hab.,1 baño,50 m²,bajo
Piso en calle de Bravo Murillo,https://www.pisos.com/comprar/piso-valdeacederas28020-64258471215_500564/,https://fotos.imghs.net/mm-wp/500564/64258471215.500564/500564_64258471215_3_20260511192724559.jpg,unknown,239.000 €,Valdeacederas (Distrito Tetuán. Madrid Capital),1 hab.,1 baño,45 m²,1ª planta
Piso en calle de Juan Pantoja,https://www.pisos.com/comprar/piso-bellas_vistas-62551281962_100500/,https://fotos.imghs.net/mm-wp/1005/720/1005_4240720_1_202603241347042561145.jpg,unknown,234.900 €,Bellas Vistas (Distrito Tetuán. Madrid Capital),1 hab.,1 baño,40 m²,bajo
Piso en calle Casa de Tilly,https://www.pisos.com/comprar/piso-el_canaveral-59202909723_501036/,https://fotos.imghs.net/mm-wp/501036/59202909723.501036/501036_59202909723_d3025819-b44b-44c7-a7d2-61680d55a0cb.jpg,unknown,310.000 €,El Cañaveral (Distrito Vicálvaro. Madrid Capital),1 hab.,1 baño,43 m²,2ª planta
Piso en calle de Latina,https://www.pisos.com/comprar/piso-lucero28047-63387483220_518874/,https://fotos.imghs.net/mm-wp/518874/63387483220.518874/518874_63387483220_2e33d4e1-6f74-4b53-b8f0-43005b4a8cde.jpg,unknown,475.000 €,Lucero (Distrito Latina. Madrid Capital),4 habs.,2 baños,133 m²,1ª planta
Piso en calle de Puentelarra,https://www.pisos.com/comprar/piso-villa_de_vallecas_santa_eugenia-62563673906_100500/,https://fotos.imghs.net/mm-wp/1005/383/1005_284920898383_1_202604181826489065883.jpg,unknown,377.000 €,Santa Eugenia (Distrito Villa de Vallecas. Madrid Capital),3 habs.,2 baños,101 m²,2ª planta
Piso en Horcajo,https://www.pisos.com/comprar/piso-moratalaz_horcajo-61693372303_100200/,https://fotos.imghs.net/mm-wp/1002/471/1002_647471_99_202604211357462866824.jpeg,unknown,235.000 €,Horcajo (Distrito Moratalaz. Madrid Capital),1 hab.,1 baño,55 m²,bajo
Dúplex en calle de la Serranía de Ronda,https://www.pisos.com/comprar/duplex-casco_historico_de_vallecas-63423709240_100500/,https://fotos.imghs.net/mm-wp/1005/797/1005_4243797_1_202604231840090729728.jpg,unknown,346.500 €,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),3 habs.,2 baños,138 m²,2ª planta
Casa adosada en Ciudad Lineal,https://www.pisos.com/comprar/casa_adosada-pinar_del_rey28033-63421576079_109300/,https://fotos.imghs.net/mm-wp/1093/897/1093_EP740-4897_1_2026042116400831250.jpg,unknown,2.490.000 €,Pinar del Rey (Distrito Hortaleza. Madrid Capital),5 habs.,5 baños,426 m²,3 planta
