title,url,property_type,price,location,rooms,bathrooms,square_meters,floor
"Piso en calle del Maravedí, 12",https://www.pisos.com/comprar/piso-pau_de_carabanchel-62543972739_516742/,flat,485.000 €,Pau de Carabanchel (Distrito Carabanchel. Madrid Capital),3,2,139,2
Ático en calle de María de Molina,https://www.pisos.com/comprar/atico-salamanca_castellana28006-56750591761_524671/,penthouse,2.600.000 €,Castellana (Distrito Barrio de Salamanca. Madrid Capital),2,3,120,top floor
Piso en Travesía de Felipe de Diego,https://www.pisos.com/comprar/piso-palomeras_bajas-60842708138_101000/,flat,265.000 €,Palomeras Bajas (Distrito Puente de Vallecas. Madrid Capital),3,2,115,3
Piso en Ronda de Toledo,https://www.pisos.com/comprar/piso-acacias28005-63383701032_524671/,flat,625.000 €,Acacias (Distrito Arganzuela. Madrid Capital),3,2,105,1
Piso en calle de Martínez Izquierdo,https://www.pisos.com/comprar/piso-guindalera-62542226790_100500/,flat,425.000 €,Guindalera (Distrito Barrio de Salamanca. Madrid Capital),1,1,53,4
Piso en calle de Valle Inclán,https://www.pisos.com/comprar/piso-las_aguilas28044-48425754970_518874/,flat,285.000 €,Las Águilas (Distrito Latina. Madrid Capital),3,2,80,8
Piso en Avenida de Hellín,https://www.pisos.com/comprar/piso-san_blas_hellin28037-62522190046_528352/,flat,167.000 €,Hellín (Distrito San Blas. Madrid Capital),2,1,45,1
"Apartamento en calle de Porfirio, 8",https://www.pisos.com/comprar/apartamento-berruguete-63357470727_101000/,flat,310.000 €,Berruguete (Distrito Tetuán. Madrid Capital),1,1,55,unknown
Ático en calle de Daoiz,https://www.pisos.com/comprar/atico-universidad_malasana28004-63365985385_528305/,penthouse,975.000 €,Universidad-Malasaña (Distrito Centro. Madrid Capital),2,2,114,top floor
Apartamento en Paseo de la Dirección,https://www.pisos.com/comprar/apartamento-berruguete-63383439551_100500/,flat,330.000 €,Berruguete (Distrito Tetuán. Madrid Capital),1,1,64,unknown
Apartamento en calle de la Huerta del Bayo,https://www.pisos.com/comprar/apartamento-centro_embajadores_lavapies28005-60914384996_993362/,flat,216.000 €,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1,1,38,1
Piso en calle de la Batalla de Torrijos,https://www.pisos.com/comprar/piso-carabanchel_vista_alegre28025-60929036096_104700/,flat,259.000 €,Vista Alegre (Distrito Carabanchel. Madrid Capital),3,1,80,2
Piso en calle del Puerto de las Pilas,https://www.pisos.com/comprar/piso-casco_historico_de_vallecas28031-63415304679_381300/,flat,199.500 €,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),1,1,50,unknown
Piso en calle Casa de Tilly,https://www.pisos.com/comprar/piso-el_canaveral-59202909723_501036/,house,310.000 €,El Cañaveral (Distrito Vicálvaro. Madrid Capital),1,1,43,2
Piso en calle de Latina,https://www.pisos.com/comprar/piso-lucero28047-63387483220_518874/,flat,475.000 €,Lucero (Distrito Latina. Madrid Capital),4,2,133,1
Piso en calle de Badalona,https://www.pisos.com/comprar/piso-fuencarral_el_pardo_valverde-63355452814_100500/,flat,329.900 €,Valverde (Distrito Fuencarral-El Pardo. Madrid Capital),3,1,79,4
Piso en calle de Puentelarra,https://www.pisos.com/comprar/piso-villa_de_vallecas_santa_eugenia-62563673906_100500/,flat,377.000 €,Santa Eugenia (Distrito Villa de Vallecas. Madrid Capital),3,2,101,2
Piso en calle de Leganitos,https://www.pisos.com/comprar/piso-centro_palacio-60037763665_100500/,flat,580.000 €,Palacio (Distrito Centro. Madrid Capital),1,1,62,1
